price,title,location,land_size_m2,building_size_m2,link
"Rp 21,7 Miliar",Rumah Mewah Premium di Ijen Nirwana Malang,"Klojen, Malang",1558,1500,https://www.rumah123.com/properti/malang-klojen/rumah-mewah-premium-di-ijen-nirwana-malang-hos39683715/
Rp 12 Miliar,Rumah Cantik Asri Lokasi Tengah Kota Malang Daerah Gunung-gunung,"Malang Kota, Malang",553,325,https://www.rumah123.com/properti/malang-malang-kota/rumah-cantik-asri-lokasi-tengah-kota-malang-daerah-gununggunung-hos38920232/
Rp 12 Miliar,Rumah Cantik Asri Terawat Tengah Kota Malang,"Malang Kota, Malang",553,325,https://www.rumah123.com/properti/malang-malang-kota/rumah-cantik-asri-terawat-tengah-kota-malang-hos39069875/
"Rp 3,2 Miliar",Rumah Baru Premium Jalan Kembar Araya Malang,"Araya, Malang",188,260,https://www.rumah123.com/properti/malang-araya/rumah-baru-premium-jalan-kembar-araya-malang-hos40103892/
"Rp 1,4 Miliar",Rumah Minimalis Strategis Dekat Indomaret di Araya Malang,"Araya, Malang",105,156,https://www.rumah123.com/properti/malang-araya/rumah-minimalis-strategis-dekat-indomaret-di-araya-malang-hos40940924/
Rp 900 Juta,Dijual Rumah Bangunan Baru Full Renov Harga Nego,"Malang Kota, Malang",77,130,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-bangunan-baru-full-renov-harga-nego-hos41395959/
"Rp 1,1 Miliar",Rumah Minimalis Dekat Pusat Kuliner di Sawojajar Malang,"Sawojajar, Malang",116,100,https://www.rumah123.com/properti/malang-sawojajar/rumah-minimalis-dekat-pusat-kuliner-di-sawojajar-malang-hos41371059/
Rp 800 Juta,"Rumah Modern 2,5 Lantai Dekat Indomaret di Villa Bukit Tidar","Malang Kota, Malang",105,130,https://www.rumah123.com/properti/malang-malang-kota/rumah-modern-25-lantai-dekat-indomaret-di-villa-bukit-tidar-hos41388387/
"Rp 2,9 Miliar",Rumah Kos Aktif Dekat Kampus di Tlogomas Lowokwaru Harga Murah,"Lowokwaru, Malang",139,500,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kos-aktif-dekat-kampus-di-tlogomas-lowokwaru-harga-murah-hos19245599/
"Rp 2,5 Miliar",Rumah Hitung Tanahdi Bawah Pasar di Villa Puncak Tidar Malang,"Tidar, Malang",304,200,https://www.rumah123.com/properti/malang-tidar/rumah-hitung-tanahdi-bawah-pasar-di-villa-puncak-tidar-malang-hos41322149/
"Rp 1,7 Miliar",Rumah Super Strategis Pusat Kota di Soekarno Hatta Malang,"Soekarno Hatta, Malang",108,200,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-super-strategis-pusat-kota-di-soekarno-hatta-malang-hos40747154/
Rp 1 Miliar,Greenland Tidar Malang,"Karang Besuki, Malang",105,60,https://www.rumah123.com/properti/malang-karang-besuki/greenland-tidar-malang-hos39732530/
"Rp 5,75 Miliar",Rumah Premium Murah Full Furnish di Araya Golf Malang,"Araya, Malang",360,540,https://www.rumah123.com/properti/malang-araya/rumah-premium-murah-full-furnish-di-araya-golf-malang-hos40078327/
"Rp 3,2 Miliar",Rumah Baru Premium Boulevard di Araya Golf Malang,"Araya, Malang",188,260,https://www.rumah123.com/properti/malang-araya/rumah-baru-premium-boulevard-di-araya-golf-malang-hos40079806/
"Rp 2,5 Miliar",Rumah Klasik Terawatsemi Furnished Tengah Kota di Klojen Malang,"Klojen, Malang",300,200,https://www.rumah123.com/properti/malang-klojen/rumah-klasik-terawatsemi-furnished-tengah-kota-di-klojen-malang-hos41301591/
Rp 700 Juta,Dijual Murah di Bawah Appraisal Rumah di Patraland Tasikmadu,"Lowokwaru, Malang",119,84,https://www.rumah123.com/properti/malang-lowokwaru/dijual-murah-di-bawah-appraisal-rumah-di-patraland-tasikmadu-hos41151000/
"Rp 2,7 Miliar",B U Rumah Araya Malang Kota Modern Blkg Tk Global Kids Kds Resto,"Malang Kota, Malang",120,180,https://www.rumah123.com/properti/malang-malang-kota/b-u-rumah-araya-malang-kota-modern-blkg-tk-global-kids-kds-resto-hos41309033/
Rp 1 Miliar,Rumah 2 LT Lokasi Belakang Pondok Thursina Malang,"Dau, Malang",112,190,https://www.rumah123.com/properti/malang-dau/rumah-2-lt-lokasi-belakang-pondok-thursina-malang-hos39852360/
Rp 799 Juta,Rumah Bagus Minimalis Modern Tunggulwulung Malang Gmk03986,"Lowokwaru, Malang",122,110,https://www.rumah123.com/properti/malang-lowokwaru/rumah-bagus-minimalis-modern-tunggulwulung-malang-gmk03986-hos41368765/
"Rp 3,5 Miliar",Rumah Bagus Terawat di PBI Araya Blimbing Malang,"Araya, Malang",250,296,https://www.rumah123.com/properti/malang-araya/rumah-bagus-terawat-di-pbi-araya-blimbing-malang-hos39021527/
Rp 8 Miliar,Cocok Untuk Usaha Di Sukarno Hatta Dekat Brawijaya,"Soekarno Hatta, Malang",388,500,https://www.rumah123.com/properti/malang-soekarno-hatta/cocok-untuk-usaha-di-sukarno-hatta-dekat-brawijaya-hos3530376/
"Rp 2,4 Juta",Rumah Siap Huni Terawat Dekat Ub di Permata Jingga Suhat Malang,"Permata Jingga, Malang",180,120,https://www.rumah123.com/properti/malang-permata-jingga/rumah-siap-huni-terawat-dekat-ub-di-permata-jingga-suhat-malang-hos40488009/
Rp 800 Juta,Rumah SHM 2 Lantai di Jalan Pattimura Gang 9 Sudah Renovasi,"Klojen, Malang",69,78,https://www.rumah123.com/properti/malang-klojen/rumah-shm-2-lantai-di-jalan-pattimura-gang-9-sudah-renovasi-hos16852253/
Rp 500 Juta,"Rumah, 1 Lantai,Siap Huni di Karangploso dengan View Pegunungan","Karangploso, Malang",85,54,https://www.rumah123.com/properti/malang-karangploso/rumah-1-lantaisiap-huni-di-karangploso-dengan-view-pegunungan-hos41381746/
Rp 2 Miliar,"Dijual Rumah Perumahan Villa Gunung Buring, Kedungkandang, Malang","Kedungkandang, Malang",200,350,https://www.rumah123.com/properti/malang-kedungkandang/dijual-rumah-perumahan-villa-gunung-buring-kedungkandang-malang-hos40954513/
"Rp 1,25 Miliar","Villa Terawat 2 Lantai Semi Furnish, Cocok untuk Dihuni atau Disewakan Temas, Batu","Batu, Malang",94,188,https://www.rumah123.com/properti/malang-batu/villa-terawat-2-lantai-semi-furnish-cocok-untuk-dihuni-atau-disewakan-temas-batu-hos41315436/
"Rp 1,25 Miliar",Rumah Murah Strategis Area Kos Bunga Cengkeh Selangkah Ke Suhat,"Lowokwaru, Malang",102,100,https://www.rumah123.com/properti/malang-lowokwaru/rumah-murah-strategis-area-kos-bunga-cengkeh-selangkah-ke-suhat-hos40569871/
Rp 990 Juta,Rumah Murah Luas 159 M2 Area Ikan Piranha Suhat,"Lowokwaru, Malang",159,110,https://www.rumah123.com/properti/malang-lowokwaru/rumah-murah-luas-159-m2-area-ikan-piranha-suhat-hos41009585/
"Rp 5,2 Miliar",Rumah Mewah Jalan Kembar Bouelavrd Araya Golf Ada Kolam Renang,"Araya, Malang",370,400,https://www.rumah123.com/properti/malang-araya/rumah-mewah-jalan-kembar-bouelavrd-araya-golf-ada-kolam-renang-hos10315134/
"Rp 1,1 Miliar",Rumah Murah Lokasi Nyaman Area Perumahan Poros Jalan Sulfat Blimbing,"Blimbing, Malang",150,170,https://www.rumah123.com/properti/malang-blimbing/rumah-murah-lokasi-nyaman-area-perumahan-poros-jalan-sulfat-blimbing-hos40280016/
Rp 3 Miliar,Rumah Murah Hitung Tanah Area Perumahan Nusa Indah Suhat Luas 353 m2,"Lowokwaru, Malang",353,250,https://www.rumah123.com/properti/malang-lowokwaru/rumah-murah-hitung-tanah-area-perumahan-nusa-indah-suhat-luas-353-m2-hos14496049/
"Rp 3,25 Miliar",Rumah Mewah 2 Lantai Ada Kolam Renang Kawasan Elite Villa Puncak Tidar,"Villa Puncak Tidar, Malang",265,300,https://www.rumah123.com/properti/malang-villa-puncak-tidar/rumah-mewah-2-lantai-ada-kolam-renang-kawasan-elite-villa-puncak-tidar-hos17124500/
"Rp 3,7 Miliar",Rumah Murah Luas 300 M2 Row Jalan Kembar di Boulevard Araya Golf,"Blimbing, Malang",300,250,https://www.rumah123.com/properti/malang-blimbing/rumah-murah-luas-300-m2-row-jalan-kembar-di-boulevard-araya-golf-hos41250764/
"Rp 1,35 Miliar",Rumah Lantai Terawat Selangkah ke Suhat Malang,"Soekarno Hatta, Malang",131,110,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-full-furnish-siap-huni-selangkah-ke-suhat-malang-hos40504713/
"Rp 1,8 Miliar",Rumah Cocok Buat Usaha Depan Hotel Montana Suhat Malang,"Lowokwaru, Malang",116,266,https://www.rumah123.com/properti/malang-lowokwaru/cepat-bangunan-tiga-lantai-selangkah-dengan-suhat-hos18196815/
Rp 999 Juta,Rumah 2 Lantai Ada Kolam Renang Lokasi Dekat Jatim Park 3,"Malang Kota, Malang",82,164,https://www.rumah123.com/properti/malang-malang-kota/rumah-2-lantai-ada-kolam-renang-lokasi-dekat-jatim-park-3-hos40466176/
"Rp 12,5 Miliar",Rumah Pusat Kota Strategis Area Komerisal,"Malang Kota, Malang",607,632,https://www.rumah123.com/properti/malang-malang-kota/rumah-pusat-kota-strategis-area-komerisal-hos40495609/
"Rp 4,35 Miliar",Rumah Kost Dekat Rs. Ub Malang Full Furnished,"Malang Kota, Malang",247,247,https://www.rumah123.com/properti/malang-malang-kota/rumah-kost-dekat-rs-ub-malang-full-furnished-hos40615155/
Rp 650 Juta,Rumah Bagus Terawat di Perumahan Podo Rukun Eksekutif Batu Malang,"Malang Kota, Malang",68,120,https://www.rumah123.com/properti/malang-malang-kota/rumah-bagus-terawat-di-perumahan-podo-rukun-eksekutif-batu-malang-hos40880795/
Rp 2 Miliar,"Rumah Perumahan Villa Gunung Buring, Kedungkandang, Malang Lokasi Strategis","Malang Kota, Malang",200,350,https://www.rumah123.com/properti/malang-malang-kota/rumah-perumahan-villa-gunung-buring-kedungkandang-malang-lokasi-strategis-hos40946632/
"Rp 1,9 Miliar",Rumah Di Araya Malang Lokasi Strategis Dan Komersial Area,"Malang Kota, Malang",170,225,https://www.rumah123.com/properti/malang-malang-kota/rumah-di-araya-malang-lokasi-strategis-dan-komersial-area-hos39919913/
