price,title,location,land_size_m2,building_size_m2,link
Rp 890 Juta,"Rumah 2 Lantai Punya Banyak Kamar Dkt Kampus Ub, Investasi Cerdas","Soekarno Hatta, Malang",80,180,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-2-lantai-punya-banyak-kamar-dkt-kampus-ub-investasi-cerdas-hos40840438/
Rp 620 Juta,De Cassablanca Residence Murah Rumah Siap Huni,"Kedungkandang, Malang",90,70,https://www.rumah123.com/properti/malang-kedungkandang/dijual-rumah-siap-huni-di-de-cassablanca-residence-jalan-halim-perdana-kusuma-malang-hos40174483/
Rp 800 Juta,Dijual Rumah Di Sekarpuro Malang Shm Cocok Untuk Rumah Singgah,"Malang Kota, Malang",81,60,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-di-sekarpuro-malang-shm-cocok-untuk-rumah-singgah-hos17913999/
"Rp 8,5 Miliar",Dijual Rumah Mewah Murah Araya Malang Full Furnished,"Malang Kota, Malang",540,600,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-mewah-murah-araya-malang-full-furnished-hos39910688/
"Rp 1,65 Miliar","Dijual Cepat Property 2 In 1 Lokasi Strategislowokwaru, Blimbing Malang","Malang Kota, Malang",85,170,https://www.rumah123.com/properti/malang-malang-kota/dijual-cepat-property-2-in-1-lokasi-strategislowokwaru-blimbing-malang-hos41193464/
Rp 650 Juta,Dijual Rumah Bagus Terawat Lokasi Perumahan Podo Rukun Eksekutif Batu Malang,"Malang Kota, Malang",68,70,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-bagus-terawat-lokasi-perumahan-podo-rukun-eksekutif-batu-malang-hos40861160/
"Rp 1,5 Miliar",Rumah Modern Luas 144M2 Siap Huni Area Sulfat Blimbing,"Sulfat, Malang",144,140,https://www.rumah123.com/properti/malang-sulfat/rumah-modern-luas-144m2-siap-huni-area-sulfat-blimbing-hos41381377/
Rp 700 Juta,Dijual Rumah Hook Luas 132M2 Area Sawojajar Malang Kota,"Sawojajar, Malang",132,132,https://www.rumah123.com/properti/malang-sawojajar/dijual-rumah-hook-luas-132m2-area-sawojajar-malang-kota-hos41182460/
Rp 2 Miliar,Rumah 2 Lantai Siap Huni Luas 188M2 Area Sulfat Blimbing,"Sulfat, Malang",188,350,https://www.rumah123.com/properti/malang-sulfat/rumah-2-lantai-siap-huni-luas-188m2-area-sulfat-blimbing-hos17562596/
Rp 850 Juta,Dijual cepat rumah modern 2 lantai siap huni dekat kampus UMM,"Karangploso, Malang",70,53,https://www.rumah123.com/properti/malang-karangploso/dijual-cepat-rumah-modern-2-lantai-siap-huni-dekat-kampus-umm-hos40328102/
"Rp 1,2 Miliar",Rumah Nyaman 2 Lantai di Sulfat Lokasi Strategis Harga Nego,"Sulfat, Malang",115,200,https://www.rumah123.com/properti/malang-sulfat/rumah-nyaman-2-lantai-di-sulfat-malang-lokasi-strategis-harga-nego-hos40439693/
Rp 480 Juta,Rumah 400 Jutaan Lokasi Prime 10 Menit Dari Dieng Malang,"Malang Kota, Malang",75,50,https://www.rumah123.com/properti/malang-dieng-tidar/rumah-estetik-hanya-10-menit-dari-dieng-tidar-malang-hos40524509/
"Rp 2,65 Miliar",Dijual Rumah Mewah Konsep American Classic di Malang,"Malang Kota, Malang",194,90,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-mewah-konsep-american-classic-di-malang-hos40905544/
"Rp 2,5 Miliar",Rumah 2 Lantai Araya Malang Bagus,"Malang Kota, Malang",135,200,https://www.rumah123.com/properti/malang-malang-kota/rumah-2-lantai-araya-malang-bagus-hos18487294/
Rp 525 Juta,Rumah 2 Lt Siap Huni di Komp Manali Hill Dawuhan Malang,"Karangploso, Malang",60,50,https://www.rumah123.com/properti/malang-karangploso/rumah-2-lt-siap-huni-di-komp-manali-hill-dawuhan-malang-hos17056799/
"Rp 2,4 Miliar","Rumah di Perumahan Permata Jingga, Lowokwaru Malang","Lowokwaru, Malang",180,120,https://www.rumah123.com/properti/malang-lowokwaru/rumah-di-perumahan-permata-jingga-lowokwaru-malang-hos39647684/
Rp 690 Juta,Rumah Nyaman 4 KT di Jl Teluk Weda Arjosari Blimbing Malang,"Arjosari, Malang",144,130,https://www.rumah123.com/properti/malang-arjosari/rumah-nyaman-4-kt-di-jl-teluk-weda-arjosari-blimbing-malang-hos40518291/
Rp 880 Juta,Rumah Nyaman di Komp Piranha Garden Lowokwaru Malang,"Lowokwaru, Malang",97,75,https://www.rumah123.com/properti/malang-lowokwaru/rumah-nyaman-di-komp-piranha-garden-lowokwaru-malang-hos40520011/
"Rp 1,9 Miliar",Rumah Nyaman Dan Asri di Pondok Kopi Estate Lowokwaru Malang,"Lowokwaru, Malang",201,170,https://www.rumah123.com/properti/malang-lowokwaru/rumah-nyaman-dan-asri-di-pondok-kopi-estate-lowokwaru-malang-hos14429079/
Rp 350 Juta,Rumah Primary 1Lt 2Kamar 1Km Unfurnish Dekat Akses Tol Pakis Kab Malang,"Pakis, Malang",72,36,https://www.rumah123.com/properti/malang-pakis/rumah-primary-1lt-2kamar-1km-unfurnish-dekat-akses-tol-pakis-kab-malang-hos41329399/
Rp 875 Juta,Rumah 1Lt 2Kt 1Km Unfurnish Siap Huni Area Sulfat Malang,"Sulfat, Malang",130,130,https://www.rumah123.com/properti/malang-sulfat/rumah-1lt-2kt-1km-unfurnish-siap-huni-area-sulfat-malang-hos41319058/
Rp 395 Juta,Rumah Baru Minimalis Hoek Dkt Bandara Abd Saleh Malang,"Kedungkandang, Malang",81,40,https://www.rumah123.com/properti/malang-kedungkandang/rumah-baru-minimalis-hoek-dkt-bandara-abd-saleh-malang-hos10938703/
"Rp 3,85 Miliar",Rumah Hook 2Lt 7Kamar 4Km Unfurnish Dekat Suhat Ub Rs Ub,"Lowokwaru, Malang",360,300,https://www.rumah123.com/properti/malang-lowokwaru/rumah-hook-2lt-7kamar-4km-unfurnish-dekat-suhat-ub-rs-ub-hos41370963/
"Rp 1,35 Miliar","Jual Rumah Semi Furnished Tirtasani Malang, Pondasi ready untuk 2 lantai, 15 menit ke toll Singosari","Karangploso, Malang",180,95,https://www.rumah123.com/properti/malang-karangploso/jual-rumah-semi-furnished-tirtasani-malang-pondasi-ready-untuk-2-lantai-15-menit-ke-toll-singosari-hos40437047/
"Rp 1,7 Miliar","Dijual Cepat Rumah dan Garasi 2in1 Full Furnished di lokasi strategis Lowokwaru, Blimbing Malang","Lowokwaru, Malang",85,170,https://www.rumah123.com/properti/malang-lowokwaru/dijual-cepat-rumah-dan-garasi-2in1-full-furnished-di-lokasi-strategis-lowokwaru-blimbing-malang-hos40488680/
"Rp 3,5 Miliar","Dijual Cepat Property 2 In 1 Rumah+Gudang di Lowokwaru, Blimbing - Malang","Lowokwaru, Malang",209,170,https://www.rumah123.com/properti/malang-lowokwaru/dijual-cepat-property-2-in-1-rumahgudang-di-lowokwaru-blimbing-malang-hos41275271/
Rp 16 Miliar,Cepat Ruko + Rumah + Tanah Lokasi Sangat Startegis Harga Terjangkau,"Karangploso, Malang",1714,680,https://www.rumah123.com/properti/malang-karangploso/cepat-ruko-rumah-tanah-lokasi-sangat-startegis-harga-terjangkau-hos14342307/
"Rp 1,6 Miliar",Rumah 2 Lantai Bagus Modern Siap Huni Harga Sangat Terjangkau Lokasi Sangat Strategis,"Karangploso, Malang",229,300,https://www.rumah123.com/properti/malang-karangploso/rumah-2-lantai-bagus-modern-siap-huni-harga-sangat-terjangkau-lokasi-sangat-strategis-hos41121157/
"Rp 2,7 Miliar",B U Rumah Araya Malang Kota Modern Blkg Tk Global Kids Kds Resto,"Blimbing, Malang",120,180,https://www.rumah123.com/properti/malang-blimbing/b-u-rumah-araya-malang-kota-modern-blkg-tk-global-kids-kds-resto-hos16911639/
"Rp 2,7 Miliar",B U Rumah Araya Malang Kota Modern Blkg Tk Global Kids Kds Resto,"Araya, Malang",120,180,https://www.rumah123.com/properti/malang-araya/b-u-rumah-araya-malang-kota-modern-blkg-tk-global-kids-kds-resto-hos41308999/
"Rp 2,7 Miliar",Rumah Baru Malang Kota Araya Modern Blkg Tk Global Kids Kds Resto,"Malang Kota, Malang",120,180,https://www.rumah123.com/properti/malang-malang-kota/rumah-baru-malang-kota-araya-modern-blkg-tk-global-kids-kds-resto-hos41309040/
"Rp 2,7 Miliar",Rumah Baru Araya Malang Kota Modern Blkg Tk Global Kids Kds Resto,"Araya, Malang",120,180,https://www.rumah123.com/properti/malang-araya/rumah-baru-araya-malang-kota-modern-blkg-tk-global-kids-kds-resto-hos41309041/
"Rp 2,7 Miliar",Rumah Araya Malang Kota Modern Blkg Tk Global Kids Kds Resto,"Malang Kota, Malang",120,180,https://www.rumah123.com/properti/malang-malang-kota/rumah-araya-malang-kota-modern-blkg-tk-global-kids-kds-resto-hos41309037/
"Rp 1,6 Miliar",Rumah Strategis Pinggir Jalan Besar Ki Ageng Gribig Kedungkandang,"Kedungkandang, Malang",190,120,https://www.rumah123.com/properti/malang-kedungkandang/rumah-strategis-pinggir-jalan-besar-ki-ageng-gribig-kedungkandang-hos39416353/
"Rp 3,9 Miliar",Rumah Baru Gress Araya Malang Golf Area,"Araya, Malang",240,270,https://www.rumah123.com/properti/malang-araya/rumah-baru-gress-araya-malang-golf-area-hos40909503/
Rp 395 Juta,Rumah 2 Lantai Murah 400Jutaan Baru Gress Siap Huni Perumahan Cluster Bedali Lawang Malang Lokasi Strategis Dekat Tol,"Singosari, Malang",60,55,https://www.rumah123.com/properti/malang-singosari/rumah-2-lantai-murah-400jutaan-baru-gress-siap-huni-perumahan-cluster-bedali-lawang-malang-lokasi-strategis-dekat-tol-hos19520153/
"Rp 1,79 Miliar",Rumah Kos Aktif Dekat Kampus Umm di Tlogomas Lowowkwaru,"Lowokwaru, Malang",134,154,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kos-aktif-dekat-kampus-umm-di-tlogomas-lowowkwaru-hos19264145/
"Rp 1,85 Miliar",Rumah Luas Harga Bawah Pasar di Pbi Araya Malang,"Araya, Malang",264,132,https://www.rumah123.com/properti/malang-araya/rumah-luas-harga-bawah-pasar-di-pbi-araya-malang-hos41276738/
"Rp 1,1 Miliar",Jual Murah Rumah 2 Lantai Selangkah ke Sma St Yusup Lowokwaru,"Lowokwaru, Malang",193,200,https://www.rumah123.com/properti/malang-lowokwaru/jual-murah-rumah-2-lantai-selangkah-ke-sma-st-yusup-lowokwaru-hos40993792/
"Rp 2,1 Miliar",Rumah Semi Furnished Dekat Superindo di Pbi Araya Malang,"Blimbing, Malang",264,136,https://www.rumah123.com/properti/malang-blimbing/rumah-semi-furnished-dekat-superindo-di-pbi-araya-malang-hos40693711/
"Rp 3,5 Miliar",Rumah Modern Semi Furnished di Pbi Araya Malang,"Araya, Malang",249,295,https://www.rumah123.com/properti/malang-araya/rumah-modern-semi-furnished-di-pbi-araya-malang-hos41348890/
"Rp 2,3 Miliar",Rumah Hook Siap Huni di Griyashanta Lowokwaru,"Lowokwaru, Malang",175,90,https://www.rumah123.com/properti/malang-lowokwaru/rumah-hook-siap-huni-di-griyashanta-lowokwaru-hos41312019/
"Rp 4,5 Miliar",Rumah Mewah Full Furnished di Boulevard Greenwood Araya Malang,"Araya, Malang",240,280,https://www.rumah123.com/properti/malang-araya/rumah-mewah-full-furnished-di-boulevard-greenwood-araya-malang-hos41313018/
"Rp 1,2 Miliar",Rumah Siap Huni Dekat Plaza di Araya Malang,"Blimbing, Malang",119,100,https://www.rumah123.com/properti/malang-blimbing/rumah-siap-huni-dekat-plaza-di-araya-malang-hos41321384/
"Rp 3,5 Miliar","K4 Rumah Semi Furnish Dekat Unmer Bukit Dieng Permai, Malang","Dieng, Malang",388,174,https://www.rumah123.com/properti/malang-dieng/k4-rumah-semi-furnish-dekat-unmer-bukit-dieng-permai-malang-hos41374030/
"Rp 1,35 Miliar","K5 Turun Harga , Rumah 3 Lantai Harga Dibawah Pasaran","Tidar, Malang",108,240,https://www.rumah123.com/properti/malang-tidar/k5-turun-harga-rumah-3-lantai-harga-dibawah-pasaran-hos41374081/
"Rp 1,2 Miliar","K12 Rumah Classic dan Terawat di Tengah Kota, Dekat Rampal Malang","Blimbing, Malang",300,210,https://www.rumah123.com/properti/malang-blimbing/k12-rumah-classic-dan-terawat-di-tengah-kota-dekat-rampal-malang-hos41376366/
Rp 11 Miliar,"K15 Rumah Hitung Tanah di Poros Jalan Letjen S. Parman, Blimbing Malang","Blimbing, Malang",382,160,https://www.rumah123.com/properti/malang-blimbing/k15-rumah-hitung-tanah-di-poros-jalan-letjen-s-parman-blimbing-malang-hos41376685/
Rp 520 Juta,"K16 Rumah Minimalis Murah Cocok untuk Pasangan Muda, Dekat Tol Karanglo","Blimbing, Malang",85,45,https://www.rumah123.com/properti/malang-blimbing/k16-rumah-minimalis-murah-cocok-untuk-pasangan-muda-dekat-tol-karanglo-hos41376701/
Rp 975 Juta,Kost Baru Dekat Kampus Ub Kota Malang,"Lowokwaru, Malang",75,150,https://www.rumah123.com/properti/malang-lowokwaru/kost-baru-dekat-kampus-ub-kota-malang-hos41098537/
"Rp 2,9 Miliar","Rumah Potensial di Kawasan Elite Tidar, Malang","Tidar, Malang",256,230,https://www.rumah123.com/properti/malang-tidar/rumah-potensial-di-kawasan-elite-tidar-malang-hos41326188/
Rp 8 Miliar,"Rumah Mewah Siap Huni di Kawasan Elite Araya, Malang","Araya, Malang",499,355,https://www.rumah123.com/properti/malang-araya/rumah-mewah-siap-huni-di-kawasan-elite-araya-malang-hos41327259/
Rp 2 Miliar,"Rumah Mewah 2 Lantai Villa Gunung Buring, Sejuk & Asri","Kedungkandang, Malang",200,350,https://www.rumah123.com/properti/malang-kedungkandang/rumah-mewah-2-lantai-villa-gunung-buring-sejuk-asri-hos41032042/
Rp 799 Juta,"Dijual Rumah Nyaman - De Cassablanca Residence, Malang","Kedungkandang, Malang",129,58,https://www.rumah123.com/properti/malang-kedungkandang/dijual-rumah-nyaman-de-cassablanca-residence-malang-hos41319962/
Rp 180 Juta,Tanah di Jual Kota Malang Bukan Kabupatenarga Terjangkau,"Sukun, Malang",72,36,https://www.rumah123.com/properti/malang-sukun/tanah-di-jual-kota-malang-bukan-kabupatenarga-terjangkau-hos41102017/
"Rp 1,1 Miliar","Kost Eksklusif Merjosari Dekat Kampus, Jauh Dari Berisik.","Lowokwaru, Malang",75,150,https://www.rumah123.com/properti/malang-lowokwaru/kost-eksklusif-merjosari-dekat-kampus-jauh-dari-berisik-hos40981498/
Rp 675 Juta,Rumah Dijual Dalam Perum View Kota Hawa Sejuk Dekat Tol Malang,"Kedungkandang, Malang",200,160,https://www.rumah123.com/properti/malang-kedungkandang/rumah-dijual-dalam-perum-view-kota-hawa-sejuk-dekat-tol-malang-hos41228253/
Rp 750 Juta,"Rumah Akses Mudah Pusat Kota, Um Kampus 2 Cocok untuk Investasi","Kedungkandang, Malang",200,120,https://www.rumah123.com/properti/malang-kedungkandang/rumah-furnished-akses-mudah-pusat-kota-dekat-cassablanca-residence-exit-tol-hos40899639/
Rp 1 Miliar,Rumah 3 Kamar Tidur di Tidar Villa Estate Full Furnished,"Tidar, Malang",127,127,https://www.rumah123.com/properti/malang-tidar/rumah-3-kamar-tidur-di-tidar-villa-estate-full-furnished-hos41357014/
"Rp 1,2 Miliar",Rumah Baru Riverfront Urban Resort Selangkah ke Universitas Negeri Malang dan Tol Madyopuro Ada Rooftop,"Kedungkandang, Malang",96,57,https://www.rumah123.com/properti/malang-kedungkandang/rumah-baru-riverfront-malangselangkah-ke-universitas-negeri-malang-dan-tol-madyopuroada-rooftop-hos39156196/
Rp 510 Juta,"Dijual Rumah 2 Lantai Dekat dengan Kampus Uin, Umm, Unisma di Daerah Merjosari Lowokwaru Malang Kota","Malang Kota, Malang",69,48,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-2-lantai-dekat-dengan-kampus-uin-umm-unisma-di-daerah-merjosari-lowokwaru-malang-kota-hos40725461/
Rp 1 Miliar,"*Dijual Rumah 1,5 Lantai Fully Furnished Dekat Bandara Abdur Rachman Saleh dan Binus Araya di Pakis Malang*","Malang Kota, Malang",124,162,https://www.rumah123.com/properti/malang-malang-kota/dijual-rumah-15-lantai-fully-furnished-dekat-bandara-abdur-rachman-saleh-dan-binus-araya-di-pakis-malang-hos41200965/
Rp 899 Juta,Rumah Pojok Dekat Sekolahan dan Kuliner Kopi Sudimoro,"Lowokwaru, Malang",133,80,https://www.rumah123.com/properti/malang-lowokwaru/rumah-pojok-dekat-sekolahan-dan-kuliner-kopi-sudimoro-hos41361458/
"Rp 2,1 Miliar",Rumah Banyak Kamar Dekat Kantor Bpjs Dan Smpn 20,"Blimbing, Malang",113,200,https://www.rumah123.com/properti/malang-blimbing/rumah-banyak-kamar-dekat-kantor-bpjs-dan-smpn-20-hos40091493/
Rp 850 Juta,Rumah Minimalis di Perumahan Elit Citra Garden,"Kedungkandang, Malang",96,40,https://www.rumah123.com/properti/malang-kedungkandang/rumah-minimalis-di-perumahan-elit-citra-garden-hos40348858/
"Rp 3,55 Miliar",Rumah mewah  full furnish 2 lantai di Cluster Ixora Valley Araya,"Araya, Malang",200,227,https://www.rumah123.com/properti/malang-araya/rumah-mewah-full-furnish-2-lantai-di-cluster-ixora-valley-araya-hos14548358/
Rp 790 Juta,Rumah 2Lt 4Kt 2Km Unfurnish Area Sulfat Malang,"Sulfat, Malang",92,120,https://www.rumah123.com/properti/malang-sulfat/rumah-2lt-4kt-2km-unfurnish-area-sulfat-malang-hos41319204/
Rp 750 Juta,Rumah Furnish Sulfat Pandanwangi Blimbing Malang,"Sulfat, Malang",80,65,https://www.rumah123.com/properti/malang-sulfat/rumah-furnish-sulfat-pandanwangi-blimbing-malang-hos41247258/
"Rp 1,1 Miliar",Dijual Secepatnya Rumah 2 Lantai Bagus Harga Sangat Terjangkau,"Sulfat, Malang",150,70,https://www.rumah123.com/properti/malang-sulfat/dijual-secepatnya-rumah-2-lantai-bagus-harga-sangat-terjangkau-hos40433576/
Rp 889 Juta,Rumah Siap Huni di Lowokwaru Lokasi Strategis Pilihan Terjangkau Kota Malang,"Lowokwaru, Malang",113,80,https://www.rumah123.com/properti/malang-lowokwaru/rumah-pojok-tunjungsekar-malang-dekat-suhat-lokasi-strategis-pilihan-terjangkau-kota-malang-hos41362482/
Rp 440 Juta,"Rumah minimalis siap huni kondisi baru di Karangploso, Akses mudah ke UMM, Unibraw, ITN","Karangploso, Malang",66,38,https://www.rumah123.com/properti/malang-karangploso/rumah-minimalis-siap-huni-kondisi-baru-di-karangploso-akses-mudah-ke-umm-unibraw-itn-hos39095106/
"Rp 3,1 Miliar","Rumah Furnish Jual Lokasi Strategis Dekat Umm, Jalan Poros Arah Kota Batu. Cocok untuk Hunian, Rumah Kos Eksklusif Kota Malang","Dau, Malang",249,186,https://www.rumah123.com/properti/malang-dau/rumah-furnish-jual-lokasi-strategis-dekat-umm-jalan-poros-arah-kota-batu-cocok-untuk-hunian-keluarga-rumah-kos-hos41181369/
Rp 600 Juta,Rumah Madyopuro Malang Dekat Exit Tol Akses Mudah Pilihan Terjangkau,"Kedungkandang, Malang",65,45,https://www.rumah123.com/properti/malang-kedungkandang/rumah-madyopuro-malang-dekat-exit-tol-akses-mudah-pilihan-terjangkau-hos41362203/
"Rp 1,45 Miliar","Rumah di Pbi Araya Malang, Lingkungan Tenang dan Nyaman","Araya, Malang",135,200,https://www.rumah123.com/properti/malang-araya/rumah-nyaman-di-pbi-araya-malang-dekat-persada-hospital-binus-mall-araya-kantor-imigrasi-hos16144769/
"Rp 1,7 Miliar","Dijual Rumah Minimalis Siap Huni di Perumahan Permata Jingga, Malang","Lowokwaru, Malang",119,70,https://www.rumah123.com/properti/malang-lowokwaru/dijual-rumah-minimalis-siap-huni-di-perumahan-permata-jingga-malang-hos41306466/
Rp 850 Juta,Butuh Cepat Laku Dijual Rumah di Mangliawan Pakis Malang,"Pakis, Malang",131,100,https://www.rumah123.com/properti/malang-pakis/butuh-cepat-laku-dijual-rumah-di-mangliawan-pakis-malang-hos41306435/
"Rp 3,5 Miliar","Dijual Rumah Luas Semi Furnish di Bukit Dieng Permai, Sukun, Malang","Sukun, Malang",388,174,https://www.rumah123.com/properti/malang-sukun/dijual-rumah-luas-semi-furnish-di-bukit-dieng-permai-sukun-malang-hos41324568/
Rp 900 Juta,"Dijual Rumah Minimalis di Jl. Teluk Teluk Arjosari, Blimbing, Kota Malang","Blimbing, Malang",103,125,https://www.rumah123.com/properti/malang-blimbing/dijual-rumah-minimalis-di-jl-teluk-teluk-arjosari-blimbing-kota-malang-hos41324782/
"Rp 2,75 Miliar",Harga Bu Turun Harga Dijual Rumah di Simpang Borobudur Malang,"Lowokwaru, Malang",311,250,https://www.rumah123.com/properti/malang-lowokwaru/harga-bu-turun-harga-dijual-rumah-di-simpang-borobudur-malang-hos41324832/
"Rp 2,5 Miliar",Dijual Rumah Klasik Terawat Siap Huni di Area Tengah Kota Malang,"Kasin, Malang",300,200,https://www.rumah123.com/properti/malang-kasin/dijual-rumah-klasik-terawat-siap-huni-di-area-tengah-kota-malang-hos41338658/
"Rp 1,2 Miliar","Rumah Kost Murah Strategis Malang Dekat Kampus Ub, Umm, Uin","Lowokwaru, Malang",75,150,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kost-murah-strategis-malang-dekat-kampus-ub-umm-uin-hos41062711/
Rp 285 Juta,Rumah 2 Lantai 200 Jutaan di Sukun Malang,"Sukun, Malang",50,36,https://www.rumah123.com/properti/malang-sukun/rumah-2-lantai-200-jutaan-di-sukun-malang-hos41064112/
"Rp 1,2 Miliar",Kostmurah Strategis Murah 7 Menit Ub Malang,"Merjosari, Malang",75,150,https://www.rumah123.com/properti/malang-merjosari/kostmurah-strategis-murah-7-menit-ub-malang-hos41064134/
Rp 995 Juta,Villa Batu Potensi Cuan Tinggi SHM Split,"Batu, Malang",71,60,https://www.rumah123.com/properti/malang-batu/villa-batu-potensi-cuan-tinggi-shm-split-hos41070691/
"Rp 1,65 Miliar",Rumah Kost Murah Kota Malang mepet Kampus UMM,"Lowokwaru, Malang",84,133,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kost-murah-kota-malang-mepet-kampus-umm-hos39809899/
"Rp 3,2 Miliar","Rumah Kost 20 kamar 3 menit Kmapus UMM Malang, SHM","Lowokwaru, Malang",168,266,https://www.rumah123.com/properti/malang-lowokwaru/rumah-kost-20-kamar-3-menit-kmapus-umm-malang-shm-hos39805382/
Rp 357 Juta,Rumah Modern Kota Malang Dekat Gor Ken Arok bisa Angsur,"Malang Kota, Malang",70,36,https://www.rumah123.com/properti/malang-malang-kota/rumah-modern-kota-malang-dekat-gor-ken-arok-bisa-angsur-hos41226537/
"Rp 4,8 Miliar",Rumah Terawat Siap Huni Tengah Kota di Pinggir Jl. Raya Kaliurang Malang Kota,"Klojen, Malang",431,431,https://www.rumah123.com/properti/malang-klojen/rumah-terawat-siap-huni-tengah-kota-di-pinggir-jl-raya-kaliurang-malang-kota-hos41364799/
Rp 800 Juta,"Perumahan di Jalan Utama Ampeldento, Dkt Exit Tol Pakis & Malang","Pakis, Malang",102,60,https://www.rumah123.com/properti/malang-pakis/rumah-di-perumahan-di-jalan-utama-dkt-exit-tol-pakis-malang-hos41357943/
"Rp 4,5 Miliar","Rumah Asri di Lokasi Strategis Dekat Perkantoran, Kampus Ub, Asia","Lowokwaru, Malang",441,300,https://www.rumah123.com/properti/malang-lowokwaru/rumah-asri-di-lokasi-strategis-dekat-perkantoran-kampus-ub-asia-hos41358328/
Rp 450 Juta,"Rumah Minimalis Dekat Exit Tol Pakis, Lingkungan Tenang dan Nyaman","Pakis, Malang",84,84,https://www.rumah123.com/properti/malang-pakis/rumah-minimalis-dekat-exit-tol-pakis-lingkungan-tenang-dan-nyaman-hos41357912/
"Rp 1,75 Miliar",Rumah 2 Kamar di Soekarno Hatta Indah Lowokwaru Kota Malang,"Soekarno Hatta, Malang",157,100,https://www.rumah123.com/properti/malang-soekarno-hatta/rumah-2-kamar-di-soekarno-hatta-indah-lowokwaru-kota-malang-hos19274306/
"Rp 1,45 Miliar",Dijual Harga Damai Puncak Permata Sengkaling Nyaman Dan Asri,"Malang Kota, Malang",271,350,https://www.rumah123.com/properti/malang-malang-kota/dijual-harga-damai-puncak-permata-sengkaling-nyaman-dan-asri-hos16977481/
Rp 450 Juta,CEPAT RUMAH CANTIK DAN BAGUS SIAP HUNI MODERN MINIMALIS,"Kedungkandang, Malang",71,51,https://www.rumah123.com/properti/malang-kedungkandang/cepat-rumah-cantik-dan-bagus-siap-huni-modern-minimalis-hos10743021/
Rp 405 Juta,Cepat Rumah Cantik & Bagus Siap Huni Modern Minimalis Harga Terjangkau,"Sukun, Malang",60,54,https://www.rumah123.com/properti/malang-sukun/cepat-rumah-cantik-bagus-siap-huni-modern-minimalis-harga-terjangkau-hos14487152/
Rp 400 Juta,Rumah1 Lantai Bagus Siap Huni Modern Harga Sangat Terjangkau,"Pakis, Malang",72,45,https://www.rumah123.com/properti/malang-pakis/rumah1-lantai-bagus-siap-huni-modern-harga-sangat-terjangkau-hos40790010/
Rp 450 Juta,Dijual Secepatnya Rumah 1 Lantai Bagus Harga Sangat Terjangkau,"Kedungkandang, Malang",200,21,https://www.rumah123.com/properti/malang-kedungkandang/dijual-secepatnya-rumah-1-lantai-bagus-harga-sangat-terjangkau-hos40084558/
Rp 620 Juta,Rumah 1 Lantai Lokasi Sangat Strategis Harga Sangat Terjangkau,"Sukun, Malang",78,36,https://www.rumah123.com/properti/malang-sukun/rumah-1-lantai-lokasi-sangat-strategis-harga-sangat-terjangkau-hos41355093/
Rp 550 Juta,Rumah Hook Siap Huni Di Perum Pesona Singosari Malang,"Singosari, Malang",126,125,https://www.rumah123.com/properti/malang-singosari/rumah-hook-siap-huni-di-perum-pesona-singosari-malang-hos40535431/
Rp 850 Juta,Dijual Rumah Dimalang Murah Luas 206M Butuh Cepat Butuh Uang,"Buring, Malang",206,150,https://www.rumah123.com/properti/malang-buring/dijual-rumah-dimalang-murah-luas-206m-butuh-cepat-butuh-uang-hos41068752/
"Rp 1,4 Miliar",Dijua Rumah di Malang Luas 155M Timur Terminal Arjosari Dekat Exit Tol Karanglo,"Arjosari, Malang",155,143,https://www.rumah123.com/properti/malang-arjosari/dijua-rumah-di-malang-luas-155m-timur-terminal-arjosari-dekat-exit-tol-karanglo-hos41068807/
"Rp 1,1 Miliar",Dijual Rumah Luas 180M di Tunggulwulung Dekat Kampus Poltek dan Brawijaya Kota Malang,"Lowokwaru, Malang",180,49,https://www.rumah123.com/properti/malang-lowokwaru/dijual-rumah-luas-180m-di-tunggulwulung-dekat-kampus-poltek-dan-brawijaya-kota-malang-hos41088463/
"Rp 1,8 Miliar",Dijual Murah Villa Lokasi Oro Oro Ombo Batu Malang,"Batu, Malang",100,350,https://www.rumah123.com/properti/malang-batu/dijual-murah-villa-lokasi-oro-oro-ombo-batu-malang-hos39331186/
"Rp 1,55 Miliar","Dijual Rumah Baru Modern American Classic Lokasi Sawojajar 1 , Kota Malang","Sawojajar, Malang",102,155,https://www.rumah123.com/properti/malang-sawojajar/dijual-rumah-baru-modern-american-classic-lokasi-sawojajar-1-kota-malang-hos41320835/
Rp 925 Juta,"Dijual Rumah Baru Siap Hunilokasi Perumahan Tidar , Kota Malang","Tidar, Malang",108,88,https://www.rumah123.com/properti/malang-tidar/dijual-rumah-baru-siap-hunilokasi-perumahan-tidar-kota-malang-hos41320911/
"Rp 1,17 Miliar",Rumah premium 2 lantai dekat pusat kota area sulfat blimbing,"Sulfat, Malang",88,100,https://www.rumah123.com/properti/malang-sulfat/rumah-premium-2-lantai-dekat-pusat-kota-area-sulfat-blimbing-hos40511745/
